zip_code,tj_probability
92101,0.9997
91505,0.9911
95014,0.9886
92618,0.9876
90066,0.9876
90025,0.9875
95051,0.984
92122,0.984
92126,0.9735
94086,0.9715
90802,0.9707
92104,0.9693
94107,0.9613
94404,0.9575
92660,0.9564
95123,0.9559
94536,0.9522
94568,0.9473
91203,0.9472
92630,0.9471
