feature,importance
total_reviews,0.27613093532026806
median_gross_rent,0.0898856477539207
total_households,0.08909659030023952
pct_bachelors_plus,0.07455241773523288
total_population,0.0655199767734561
avg_price_tier,0.04689069824692118
unemployment_rate,0.04166594812533686
pct_hispanic,0.03769752719946545
housing_occupancy_rate,0.03551872928653188
poverty_rate,0.03438687809968773
avg_competitor_rating,0.03251746966439596
median_home_value,0.030385507875503297
pct_transit_commuters,0.028011763652113008
per_capita_income,0.02508882261784093
median_household_income,0.024251686438804265
diversity_index,0.015867118680761245
median_age,0.015758374875881772
competitor_count,0.010502019986084597
income_rent_ratio,0.01002661364917708
market_saturation_score,0.00824333535217051
opportunity_score,0.008001938366206834
