feature,importance
median_gross_rent,0.15295523746994472
total_households,0.15008220150569124
pct_bachelors_plus,0.13756812275499297
total_population,0.12565438460501208
total_reviews,0.06933307724248211
per_capita_income,0.06158874379262877
median_home_value,0.06103935916785118
median_household_income,0.02778716136283283
pct_hispanic,0.026498410863694782
pct_transit_commuters,0.023796460738648724
avg_price_tier,0.0231350368568046
market_saturation_score,0.020989779285756197
median_age,0.020433300720504997
diversity_index,0.016831686272421476
avg_competitor_rating,0.01567485006397567
competitor_count,0.014233385328119214
opportunity_score,0.012320338199103643
unemployment_rate,0.012132228766285334
housing_occupancy_rate,0.011648842134326518
income_rent_ratio,0.009961733085093506
poverty_rate,0.006335659783829435
