feature,coefficient,abs_coeff
total_households,2.373172684212392,2.373172684212392
total_population,-1.4154091064520604,1.4154091064520604
pct_bachelors_plus,0.7416963226850548,0.7416963226850548
market_saturation_score,-0.6656375138211379,0.6656375138211379
competitor_count,0.6195195020933215,0.6195195020933215
median_gross_rent,0.5285101705849801,0.5285101705849801
poverty_rate,-0.3972251779012003,0.3972251779012003
diversity_index,0.3507142793344387,0.3507142793344387
unemployment_rate,-0.32467036381223746,0.32467036381223746
income_rent_ratio,-0.30709625769553284,0.30709625769553284
per_capita_income,-0.3048484245196724,0.3048484245196724
total_reviews,0.300612193279358,0.300612193279358
pct_hispanic,-0.2646721238373602,0.2646721238373602
median_household_income,-0.2360035238514117,0.2360035238514117
pct_transit_commuters,-0.22817705190775797,0.22817705190775797
median_home_value,0.20311007498226277,0.20311007498226277
housing_occupancy_rate,0.1930022472108871,0.1930022472108871
avg_price_tier,-0.1369728197237897,0.1369728197237897
median_age,-0.08128463467297477,0.08128463467297477
opportunity_score,0.061688904909109686,0.061688904909109686
avg_competitor_rating,0.032929665672563335,0.032929665672563335
