zip_code,competitor_count,avg_competitor_rating,market_saturation_score,opportunity_score,avg_price_tier,total_reviews,total_population,median_age,median_household_income,per_capita_income,pct_bachelors_plus,poverty_rate,diversity_index,pct_hispanic,median_gross_rent,median_home_value,housing_occupancy_rate,unemployment_rate,income_rent_ratio,pct_transit_commuters,total_households,has_tj
90001,10.0,4.66,9.32,0.106,2.0,79.0,57652.0,31.0,57698.0,17994.0,0.0644897482329575,0.2113716783459377,0.4355705024097176,0.9130992853673768,1377.0,487800.0,0.9604435968072332,0.0999962632188632,3.4917695473251027,0.0817206154907116,13597.0,0
90002,3.0,4.466666666666667,2.68,0.36,2.0,20.0,53108.0,30.2,54221.0,18262.0,0.064243476025196,0.2398885290351736,0.4947732099149124,0.8240942984107855,1434.0,462400.0,0.9541022069066648,0.1129306162057253,3.1509181775918176,0.0858829084041548,13013.0,0
90003,6.0,4.866666666666666,5.84,0.168,1.6666666666666667,51.0,75024.0,29.5,51275.0,17057.0,0.0630831456542721,0.2684740882917466,0.4605295500833846,0.815459053103007,1407.0,494600.0,0.9589905362776026,0.0949854474896919,3.036898839137645,0.1155171813529227,17936.0,0
90004,6.0,4.65,5.58,0.176,2.0,1053.0,58833.0,35.9,58420.0,41302.0,0.3546659081751167,0.1924260194108748,0.6681570246756212,0.4658949909064641,1680.0,1289600.0,0.8996759964086349,0.0735302652196622,2.8978174603174605,0.1510221109720484,23047.0,0
90005,8.0,4.1375,6.62,0.149,1.4,908.0,37754.0,35.3,49226.0,33736.0,0.3365513251618035,0.2358955342480267,0.6574978486179727,0.4927424908618954,1572.0,1020300.0,0.890455764075067,0.0472404970760233,2.609520780322307,0.2076741672398545,16607.0,0
90006,15.0,4.486666666666666,13.46,0.074,1.5714285714285714,949.0,56628.0,35.7,47599.0,23177.0,0.2002673257338848,0.2276435685526594,0.5521943326505133,0.7245532245532246,1346.0,781400.0,0.8987812338242906,0.0555977417544323,2.9469415552253597,0.256916574919203,19100.0,0
90007,8.0,4.6,7.36,0.134,1.6,631.0,41004.0,25.2,36326.0,18966.0,0.2528862805464691,0.331626182811433,0.6614123407230236,0.5391912984099112,1396.0,789700.0,0.8983926521239954,0.1247555915875816,2.1684574976122253,0.140550914427636,12520.0,0
90008,5.0,4.7,4.7,0.208,1.0,163.0,33076.0,41.6,57880.0,37574.0,0.3045851976519847,0.1823981134357238,0.5384277686890515,0.2630910630064095,1468.0,920700.0,0.9119910625620656,0.0893008534448652,3.285649409627611,0.1195945078916976,14694.0,0
90010,1.0,4.9,0.98,0.926,1.0,88.0,4185.0,33.9,92454.0,71102.0,0.5288850375505488,0.0984468339307049,0.5029687517254835,0.0786140979689366,2349.0,904600.0,0.8173704085135599,0.0289226319595083,3.279906343124734,0.1816143497757847,2381.0,0
90011,13.0,5.0,13.0,0.076,1.6666666666666667,60.0,106042.0,30.6,51819.0,17098.0,0.0665933820835125,0.2698270496595688,0.3950320896863085,0.92104071971483,1425.0,531600.0,0.9598347757671124,0.1045170498379879,3.0303508771929826,0.1394325394192706,24399.0,0
90012,22.0,4.545454545454546,20.0,0.05,1.818181818181818,3420.0,38430.0,35.2,58444.0,37880.0,0.3604632459385555,0.1858964350767629,0.723745250452096,0.275175644028103,2044.0,702100.0,0.9140672782874618,0.0806176842336648,2.382746249184605,0.0759501442868545,14945.0,0
90013,19.0,4.636842105263158,17.62,0.056,1.6666666666666667,1099.0,14587.0,43.3,24853.0,44248.0,0.2919094328490301,0.4564338109275382,0.7309698164979235,0.239391238774251,1092.0,755100.0,0.8115352523988318,0.1670218433670751,1.896596459096459,0.1500496853262669,7781.0,0
90014,10.0,4.85,9.7,0.102,1.5714285714285714,137.0,9273.0,41.2,26550.0,48973.0,0.3781735049933822,0.3555483662245228,0.7416983803112978,0.2557963981451526,1424.0,654000.0,0.8500557413600892,0.1156526652853644,1.5537219101123596,0.142641346568839,6100.0,0
90015,11.0,4.636363636363637,10.2,0.097,1.8571428571428568,1057.0,25554.0,32.0,61959.0,49903.0,0.4146262713232524,0.2535415199186037,0.6710167646756346,0.5243797448540346,2287.0,904900.0,0.8880741560597676,0.0714285714285714,2.2576519457804984,0.1434111164024763,12838.0,0
90016,13.0,4.269230769230769,11.1,0.089,1.5555555555555556,464.0,47309.0,35.0,63090.0,36314.0,0.2750105275822655,0.1528673191147561,0.6584361017117836,0.545688980954998,1595.0,838500.0,0.9170053141606752,0.0732813554239448,3.2962382445141065,0.0928654678654678,17601.0,0
90017,7.0,3.571428571428572,5.0,0.196,1.4285714285714286,1399.0,28754.0,32.7,46626.0,33818.0,0.3294140797953461,0.355985254225499,0.6579812217211615,0.5718856506920776,1493.0,708900.0,0.8841666123460009,0.0622871648814314,2.602478231748158,0.2336549490587679,13564.0,0
90018,4.0,5.0,4.0,0.244,2.0,14.0,49898.0,35.9,58987.0,28004.0,0.2145093038084748,0.2174435849132229,0.6447561546736056,0.5868772295482785,1486.0,850900.0,0.9222215950781736,0.0800349012453398,3.3079295648272766,0.0970036454165555,16339.0,0
90019,20.0,4.245,16.98,0.059,1.7,1032.0,59410.0,38.8,65972.0,40613.0,0.3409050378956754,0.1659484935196095,0.7113807767316638,0.4350614374684396,1708.0,1151500.0,0.9060026131734686,0.0847457627118644,3.218774395003903,0.1104658792650918,23576.0,0
90020,6.0,4.133333333333334,4.96,0.198,2.0,1087.0,38400.0,36.8,55321.0,41095.0,0.4318856590485396,0.17984375,0.6745588563666463,0.3365885416666667,1652.0,704900.0,0.9125441230704388,0.0684671145685997,2.790607344632768,0.1831777527980059,17321.0,0
90021,12.0,4.516666666666667,10.84,0.091,1.6666666666666667,259.0,2781.0,40.0,29659.0,45677.0,0.1935628073312472,0.4030924128011506,0.6703803351482743,0.4804027328299173,961.0,1046900.0,0.8989525569932224,0.1326073030108904,2.57188692334374,0.2146676852559205,1459.0,0
90022,9.0,4.566666666666666,8.22,0.12,1.0,72.0,64147.0,33.2,65142.0,22013.0,0.1014611366535878,0.16561959249848,0.3787772613656148,0.9645501738195084,1322.0,574300.0,0.9536111111111112,0.056939833059236,4.106278366111952,0.0701369678159368,17165.0,0
90023,10.0,4.71,9.42,0.105,1.1666666666666667,339.0,44558.0,31.7,52918.0,18155.0,0.0891981594629252,0.2280623008214013,0.348469645749372,0.9573365052291396,1376.0,586500.0,0.9541984732824428,0.0878036563986977,3.2048207364341086,0.0981522291913883,11750.0,0
90024,11.0,3.9,8.58,0.115,2.0,3354.0,50392.0,22.9,74852.0,55345.0,0.6295004248848338,0.1898118749007779,0.6007651576735134,0.1309533259247499,2618.0,1451200.0,0.8291734357308128,0.097280639653521,2.3826075884899414,0.023324319103728,16843.0,1
90025,17.0,4.452941176470588,15.14,0.066,1.5,1952.0,44429.0,34.8,103511.0,75989.0,0.6330545850277793,0.1175133358842197,0.5555846299364378,0.1266290035787436,2418.0,1072300.0,0.9185694749492356,0.0691811479726171,3.5673766197959744,0.0508828828828828,22166.0,0
90026,21.0,4.504761904761905,18.92,0.053,1.5833333333333333,1658.0,64769.0,36.1,80549.0,47426.0,0.4095087417138966,0.1775695162809368,0.6268319682232225,0.4851858142012382,1702.0,1108500.0,0.9308350189857696,0.0767430861523909,3.943840579710145,0.1207486749116607,26230.0,0
90027,19.0,3.9210526315789473,14.9,0.067,1.8333333333333333,2561.0,45764.0,38.1,86826.0,63275.0,0.529764578434222,0.1349750895900708,0.5388073458339411,0.2198889957171576,1840.0,1578200.0,0.8972784251041097,0.0839249832551908,3.932336956521739,0.0639121771495169,21331.0,1
90028,18.0,3.855555555555556,13.88,0.072,1.75,1523.0,30982.0,36.5,57258.0,47369.0,0.4603468208092485,0.1943063714414821,0.6498814746008938,0.287199018785101,1722.0,879100.0,0.7802889623624258,0.1032696511738427,2.770905923344948,0.1332856592771879,17228.0,1
90029,12.0,4.308333333333334,10.34,0.096,1.875,1043.0,34649.0,36.7,56529.0,31353.0,0.3253107344632768,0.2189962192271061,0.6301398634350888,0.5106063667061098,1541.0,1032300.0,0.8887965655726354,0.1005911330049261,3.056943543153796,0.1863496503496503,12836.0,0
90031,11.0,4.172727272727273,9.18,0.108,1.1428571428571428,182.0,37457.0,38.2,59889.0,30141.0,0.2107127047366091,0.1788984702458819,0.6072947247175445,0.5903569426275462,1416.0,689000.0,0.953063989162483,0.0873151447117965,3.524540960451977,0.0969076776827154,11960.0,0
90032,5.0,4.8,4.8,0.204,1.3333333333333333,90.0,44881.0,37.4,76608.0,30118.0,0.2283964617827171,0.1433791582183997,0.5242588213820955,0.7473095519262049,1448.0,694800.0,0.9453636555657255,0.0928460743801652,4.4088397790055245,0.0523972094404037,13427.0,0
90033,11.0,4.672727272727273,10.28,0.096,1.6,190.0,47655.0,31.8,50616.0,19690.0,0.1362584246715229,0.2654286014059385,0.3657567013320502,0.904396180883433,1311.0,632200.0,0.942893490706057,0.0999105545617173,3.217391304347826,0.1019891500904159,13341.0,0
90034,12.0,3.891666666666667,9.34,0.106,1.4545454545454546,2247.0,55061.0,34.7,97511.0,59642.0,0.5787240985478871,0.0886834601623653,0.6805487056955004,0.2587312253682279,2124.0,1316100.0,0.8756889797899262,0.053843892793202,3.825761142498431,0.0648805957373962,25261.0,1
90035,12.0,4.425,10.62,0.093,1.8571428571428568,1271.0,26595.0,36.9,110520.0,71347.0,0.5717079195183451,0.0808422635833803,0.4536234276827,0.1331453280691859,2374.0,1657200.0,0.8404474536355608,0.0699916980650105,3.8795282224094354,0.0247216191610056,11420.0,0
90036,26.0,4.188461538461539,21.78,0.046,2.0,8129.0,37713.0,36.5,97583.0,75572.0,0.6271197937864604,0.1082120223795508,0.5725169363528556,0.1364516214567921,2622.0,1869500.0,0.9041102160380812,0.0860419137999209,3.101417493007882,0.0259259259259259,19753.0,1
90037,2.0,4.7,1.88,0.505,0.0,9.0,69064.0,32.4,52238.0,19150.0,0.0867557883131201,0.2641462990849068,0.5207894969882854,0.7986650063709023,1374.0,598700.0,0.9472237196765498,0.0799367428537327,3.168243571081999,0.1412835409880108,17571.0,0
90038,14.0,4.178571428571429,11.7,0.085,1.75,1415.0,27979.0,34.5,57102.0,38602.0,0.3517381447194407,0.1897137138568211,0.6007900188278419,0.5225347582115157,1697.0,1020800.0,0.8849418206707734,0.0748755680588617,2.8040659988214496,0.1526658307958684,12929.0,0
90039,8.0,4.3,6.88,0.143,2.0,1704.0,28244.0,41.4,108338.0,70997.0,0.523022276793545,0.0890808667327574,0.6344882706687591,0.3111457300665628,1996.0,1139300.0,0.918177662654274,0.0629301294762626,4.52312959251837,0.0316240957685167,12052.0,0
90040,2.0,4.5,1.8,0.526,0.0,10.0,11839.0,38.3,62083.0,24201.0,0.1120342089187538,0.1569389306529267,0.4141305200931494,0.9489821775487794,1337.0,550500.0,0.9905008635578584,0.0533261026753434,3.869546247818499,0.0432370384541802,3441.0,0
90041,9.0,4.133333333333334,7.44,0.133,1.6666666666666667,1325.0,28321.0,40.4,111938.0,55385.0,0.4629257534917912,0.0964302107976413,0.6661829944597694,0.3496345468027259,1747.0,1042100.0,0.9511654787131574,0.0598475222363405,5.339534439992367,0.0278297137926075,9875.0,1
90042,13.0,4.061538461538461,10.56,0.094,1.5,1878.0,59151.0,37.7,89168.0,44011.0,0.3748971833803881,0.1056448749809808,0.6003089848461034,0.5778938648543558,1756.0,850700.0,0.9554694190291612,0.0884235186560768,4.231586940015186,0.0643950425525029,21199.0,0
90043,9.0,4.755555555555556,8.56,0.115,1.5,1363.0,44461.0,40.8,63990.0,36219.0,0.2924579145927781,0.1650885045320618,0.5691115111338103,0.2641416072512988,1389.0,816600.0,0.9203825077898355,0.1172105457227138,3.8390928725701934,0.0711915212504014,17132.0,0
90044,11.0,4.309090909090909,9.48,0.104,1.75,184.0,98990.0,31.2,48386.0,19333.0,0.0990269904391234,0.2661986059197899,0.5772641996334356,0.6569754520658653,1397.0,551800.0,0.9555272313893004,0.1025477271172136,2.8863039847291816,0.0905552194839693,27738.0,0
90045,22.0,3.8545454545454554,16.96,0.059,1.7857142857142858,1784.0,41123.0,36.2,125692.0,64266.0,0.5708915145005371,0.0780585074046154,0.6107051797192686,0.1945383362108795,2790.0,1277400.0,0.9122403176612764,0.0643122517828927,3.7542413381123056,0.0097046413502109,15852.0,1
90046,28.0,4.4,24.64,0.04,1.8,2190.0,48170.0,39.2,87339.0,79934.0,0.5753385804438772,0.1165248079717666,0.4530335674145261,0.1542869005605148,2071.0,1389100.0,0.9025951281643052,0.0835349694665284,3.5143650410429745,0.0438084683333876,28346.0,1
90047,7.0,3.985714285714285,5.58,0.176,1.5,197.0,52200.0,37.4,67018.0,30203.0,0.1717075627430682,0.1734099616858237,0.6033760975153055,0.4124904214559386,1471.0,612200.0,0.95625104230363,0.0866587490102929,3.796623612055291,0.0465544332210998,17202.0,0
90048,14.0,4.428571428571429,12.4,0.08,2.0,3623.0,20411.0,39.3,102244.0,98449.0,0.6045136717639702,0.1129782960168536,0.3463602941679692,0.0798099064230072,2284.0,1694500.0,0.8407124681933842,0.0664795390751957,3.730443666082896,0.0128825797981455,11564.0,1
90049,7.0,4.414285714285714,6.18,0.159,2.25,988.0,35819.0,39.4,161605.0,126563.0,0.6417013064133017,0.0565342416036181,0.3221702123794426,0.0818559982132387,2827.0,2000001.0,0.8815566835871405,0.0404084397986837,4.763736587666549,0.0152793497273382,16151.0,0
90056,2.0,4.7,1.88,0.505,1.0,84.0,8225.0,42.7,123457.0,70503.0,0.5340760157273918,0.0723404255319148,0.4880836738499545,0.111854103343465,2245.0,1358200.0,0.9418221734357848,0.038003663003663,4.582665181885672,0.0192802056555269,3432.0,0
90057,3.0,4.133333333333334,2.48,0.388,1.6666666666666667,46.0,47142.0,34.2,46513.0,22523.0,0.2173886119453819,0.2700988502821263,0.5836112308888455,0.681515421492512,1369.0,625000.0,0.9391275501741584,0.0669111969111969,2.831324567811054,0.3542416670196095,16986.0,0
90058,5.0,4.779999999999999,4.78,0.205,0.0,25.0,3049.0,29.7,34093.0,19057.0,0.2213069741900055,0.2873073138734011,0.5869881746353101,0.6920301738274844,941.0,457500.0,0.9194690265486726,0.047470331043098,3.019217144881332,0.1386861313868613,1039.0,0
90059,4.0,2.9000000000000004,2.32,0.413,1.3333333333333333,31.0,39471.0,30.4,50939.0,19658.0,0.1121898597626753,0.2352359960477312,0.5650782809943575,0.6999569304046008,1248.0,486500.0,0.9672927763760396,0.1425553142790069,3.401375534188034,0.0595629195829167,10351.0,0
