total_population,median_age,median_household_income,per_capita_income,population_below_poverty,bachelors_degree_holders,masters_degree_holders,doctorate_holders,education_population_base,white_alone,black_alone,asian_alone,hispanic_or_latino,median_gross_rent,median_home_value,occupied_housing_units,total_housing_units,total_commuters,public_transit_commuters,total_households,labor_force,unemployed,zip,pct_bachelors_plus,poverty_rate,diversity_index,pct_transit_commuters,housing_occupancy_rate,pct_hispanic,income_rent_ratio,unemployment_rate
47309.0,35.0,63090.0,36314.0,7232.0,6723.0,2075.0,345.0,33246.0,14557.0,13028.0,2111.0,25816.0,1595.0,838500.0,17601.0,19194.0,24024.0,2231.0,17601.0,26678.0,1955.0,90016,0.2750105275822655,0.15286731911475618,0.6584361017117836,0.09286546786546787,0.9170053141606752,0.545688980954998,3.2962382445141065,0.07328135542394483
28754.0,32.7,46626.0,33818.0,10236.0,4315.0,2050.0,331.0,20327.0,7518.0,3699.0,5062.0,16444.0,1493.0,708900.0,13564.0,15341.0,14821.0,3463.0,13564.0,16151.0,1006.0,90017,0.3294140797953461,0.35598525422549904,0.6579812217211615,0.23365494905876796,0.8841666123460009,0.5718856506920776,2.602478231748158,0.06228716488143149
49898.0,35.9,58987.0,28004.0,10850.0,5337.0,1710.0,354.0,34502.0,13547.0,12125.0,3110.0,29284.0,1486.0,850900.0,16339.0,17717.0,22494.0,2182.0,16339.0,25214.0,2018.0,90018,0.21450930380847488,0.21744358491322296,0.6447561546736056,0.09700364541655553,0.9222215950781735,0.5868772295482785,3.3079295648272766,0.08003490124533989
59410.0,38.8,65972.0,40613.0,9859.0,10898.0,3906.0,489.0,44860.0,18118.0,10624.0,10302.0,25847.0,1708.0,1151500.0,23576.0,26022.0,30480.0,3367.0,23576.0,34043.0,2885.0,90019,0.34090503789567544,0.1659484935196095,0.7113807767316638,0.11046587926509187,0.9060026131734686,0.43506143746843967,3.218774395003903,0.0847457627118644
38400.0,36.8,55321.0,41095.0,6906.0,9609.0,2521.0,380.0,28966.0,7372.0,2718.0,17402.0,12925.0,1652.0,704900.0,17321.0,18981.0,20461.0,3748.0,17321.0,22624.0,1549.0,90020,0.43188565904853965,0.17984375,0.6745588563666463,0.18317775279800597,0.9125441230704389,0.3365885416666667,2.790607344632768,0.06846711456859972
2781.0,40.0,29659.0,45677.0,1121.0,316.0,117.0,0.0,2237.0,785.0,595.0,195.0,1336.0,961.0,1046900.0,1459.0,1623.0,1309.0,281.0,1459.0,1561.0,207.0,90021,0.1935628073312472,0.40309241280115066,0.6703803351482743,0.21466768525592056,0.8989525569932224,0.4804027328299173,2.5718869233437394,0.13260730301089046
64147.0,33.2,65142.0,22013.0,10624.0,3125.0,903.0,187.0,41543.0,19305.0,339.0,723.0,61873.0,1322.0,574300.0,17165.0,18000.0,29642.0,2079.0,17165.0,32227.0,1835.0,90022,0.10146113665358784,0.16561959249848004,0.37877726136561485,0.07013696781593684,0.9536111111111111,0.9645501738195084,4.106278366111952,0.05693983305923604
44558.0,31.7,52918.0,18155.0,10162.0,2043.0,280.0,42.0,26514.0,11036.0,462.0,438.0,42657.0,1376.0,586500.0,11750.0,12314.0,17697.0,1737.0,11750.0,19965.0,1753.0,90023,0.08919815946292525,0.22806230082140133,0.348469645749372,0.09815222919138837,0.9541984732824428,0.9573365052291396,3.2048207364341086,0.08780365639869772
50392.0,22.9,74852.0,55345.0,9565.0,8211.0,4187.0,1677.0,22359.0,27589.0,2305.0,13079.0,6599.0,2618.0,1451200.0,16843.0,20313.0,20708.0,483.0,16843.0,24013.0,2336.0,90024,0.6295004248848338,0.1898118749007779,0.6007651576735134,0.02332431910372803,0.8291734357308128,0.13095332592474995,2.3826075884899414,0.097280639653521
44429.0,34.8,103511.0,75989.0,5221.0,14459.0,6211.0,1435.0,34918.0,27345.0,1542.0,10062.0,5626.0,2418.0,1072300.0,22166.0,24131.0,27750.0,1412.0,22166.0,30384.0,2102.0,90025,0.6330545850277793,0.11751333588421976,0.5555846299364378,0.05088288288288288,0.9185694749492355,0.12662900357874363,3.5673766197959744,0.06918114797261717
64769.0,36.1,80549.0,47426.0,11501.0,14885.0,4930.0,633.0,49933.0,25707.0,2449.0,8411.0,31425.0,1702.0,1108500.0,26230.0,28179.0,36224.0,4374.0,26230.0,40173.0,3083.0,90026,0.4095087417138966,0.17756951628093687,0.6268319682232225,0.12074867491166077,0.9308350189857696,0.48518581420123824,3.943840579710145,0.07674308615239091
45764.0,38.1,86826.0,63275.0,6177.0,14522.0,4668.0,860.0,37847.0,29298.0,1600.0,5403.0,10063.0,1840.0,1578200.0,21331.0,23773.0,26599.0,1700.0,21331.0,29860.0,2506.0,90027,0.529764578434222,0.1349750895900708,0.5388073458339411,0.0639121771495169,0.8972784251041097,0.2198889957171576,3.932336956521739,0.08392498325519089
30982.0,36.5,57258.0,47369.0,6020.0,9392.0,2345.0,209.0,25950.0,15361.0,2773.0,4122.0,8898.0,1722.0,879100.0,17228.0,22079.0,18179.0,2423.0,17228.0,21042.0,2173.0,90028,0.46034682080924855,0.19430637144148216,0.6498814746008938,0.13328565927718797,0.7802889623624258,0.287199018785101,2.7709059233449476,0.10326965117384279
34649.0,36.7,56529.0,31353.0,7588.0,6870.0,1564.0,203.0,26550.0,11885.0,1094.0,5615.0,17692.0,1541.0,1032300.0,12836.0,14442.0,17875.0,3331.0,12836.0,20300.0,2042.0,90029,0.32531073446327685,0.21899621922710613,0.6301398634350888,0.18634965034965034,0.8887965655726354,0.5106063667061098,3.056943543153796,0.10059113300492611
