zip_code,competitor_count,avg_competitor_rating,median_competitor_rating,avg_review_count,total_reviews,avg_price_tier,open_count,market_saturation_score,opportunity_score
90094,4,3.9,3.8,197.25,789,2.0,4,3.12,0.311
90095,1,4.2,4.2,5.0,5,2.0,1,0.84,1.064
90189,3,4.466666666666666,4.6,17.0,51,1.0,3,2.68,0.36
90201,7,4.328571428571428,4.6,19.285714285714285,135,1.4,7,6.06,0.162
90209,2,4.7,4.7,58.0,116,2.5,2,1.88,0.505
90210,12,4.258333333333334,4.4,418.5833333333333,5023,2.75,12,10.22,0.097
90211,5,4.92,4.9,44.6,223,1.6666666666666667,5,4.92,0.199
90212,6,3.516666666666667,4.449999999999999,123.16666666666667,739,2.25,6,4.22,0.231
90220,9,4.344444444444445,4.6,25.666666666666668,231,1.6,9,7.82,0.126
90221,10,4.32,4.9,8.4,84,1.25,10,8.64,0.114
90222,1,3.8,3.8,97.0,97,1.0,1,0.76,1.163
90224,1,2.7,2.7,6.0,6,2.0,1,0.54,1.562
90230,10,3.81,3.75,225.4,2254,1.6666666666666667,10,7.62,0.13
90232,11,4.2727272727272725,4.6,223.1818181818182,2455,2.0,11,9.4,0.105
90240,4,3.575,3.5,113.0,452,2.0,4,2.86,0.338
90241,9,3.9000000000000004,4.1,1076.2222222222222,9686,1.75,9,7.02,0.14
90242,11,3.6727272727272724,4.1,63.18181818181818,695,1.7142857142857142,11,8.08,0.122
90245,13,4.0,4.2,107.07692307692308,1392,2.0,13,10.4,0.095
90247,19,4.310526315789474,4.8,27.473684210526315,522,1.75,19,16.38,0.061
90248,9,4.377777777777777,5.0,195.33333333333334,1758,1.8571428571428572,9,7.88,0.125
90249,7,4.628571428571428,5.0,29.857142857142858,209,1.5,7,6.48,0.152
90250,20,4.36,5.0,45.55,911,1.6666666666666667,20,17.44,0.057
90251,1,4.8,4.8,24.0,24,,1,0.96,0.943
90254,15,4.513333333333334,4.9,77.73333333333333,1166,2.0,15,13.54,0.073
90255,8,4.825,4.85,12.25,98,1.2,8,7.72,0.128
90260,7,3.8857142857142857,4.1,66.14285714285714,463,1.5,7,5.44,0.181
90262,10,4.5200000000000005,4.85,16.0,160,2.0,10,9.04,0.109
90265,1,3.9,3.9,169.0,169,,1,0.78,1.136
90266,19,3.547368421052631,3.7,176.05263157894737,3345,2.142857142857143,19,13.48,0.074
90272,8,3.9875,4.05,91.5,732,2.5,7,6.38,0.154
90274,12,3.9499999999999997,4.1,66.25,795,2.3333333333333335,12,9.48,0.104
90275,10,4.4799999999999995,4.65,69.1,691,2.0,10,8.96,0.11
90277,22,3.9863636363636363,4.1,169.6818181818182,3733,1.875,22,17.54,0.057
90278,16,4.13125,4.35,129.5625,2073,1.8181818181818181,16,13.22,0.075
90280,10,4.33,4.6,41.8,418,1.4285714285714286,10,8.66,0.114
90290,3,4.866666666666667,4.9,13.333333333333334,40,2.0,3,2.92,0.331
90291,15,4.346666666666667,4.4,117.4,1761,2.5555555555555554,15,13.04,0.076
90292,16,4.05,4.0,107.0,1712,2.0833333333333335,16,12.96,0.077
90293,5,3.5200000000000005,4.1,123.8,619,2.0,5,3.52,0.276
90301,9,4.188888888888889,4.5,49.0,441,1.3333333333333333,9,7.54,0.131
90302,9,4.233333333333333,4.6,44.888888888888886,404,1.5,9,7.62,0.13
90303,6,3.766666666666667,3.9,42.833333333333336,257,1.25,6,4.52,0.216
90304,6,4.6000000000000005,4.65,40.833333333333336,245,1.5,6,5.52,0.178
90305,3,4.0,3.7,44.0,132,2.0,3,2.4,0.4
90401,10,4.1,4.05,1012.2,10122,2.2222222222222223,10,8.2,0.12
90402,1,5.0,5.0,1.0,1,,1,1.0,0.909
90403,19,4.126315789473685,4.4,129.8421052631579,2467,2.3636363636363638,19,15.68,0.063
90404,11,4.418181818181818,4.9,211.0909090909091,2322,1.8571428571428572,11,9.72,0.102
90405,14,4.371428571428572,4.45,96.35714285714286,1349,1.75,14,12.24,0.081
90501,27,4.1000000000000005,4.6,65.85185185185185,1778,1.7857142857142858,27,22.14,0.045
90502,5,3.54,4.7,17.4,87,2.0,5,3.54,0.275
90503,17,3.9823529411764707,3.9,208.64705882352942,3547,2.090909090909091,17,13.54,0.073
90504,9,4.044444444444444,4.4,40.22222222222222,362,1.5,9,7.28,0.136
90505,26,3.9884615384615385,4.3,162.23076923076923,4218,1.8421052631578947,26,20.74,0.048
90509,1,3.4,3.4,71.0,71,1.0,1,0.68,1.282
90601,1,5.0,5.0,17.0,17,,1,1.0,0.909
90620,3,3.766666666666667,4.0,80.33333333333333,241,1.3333333333333333,3,2.26,0.424
90621,5,4.34,5.0,116.8,584,1.75,5,4.34,0.225
90623,7,4.257142857142857,4.8,33.142857142857146,232,2.5,7,5.96,0.165
90630,7,4.3428571428571425,4.5,38.857142857142854,272,1.5,7,6.08,0.162
90631,8,4.2,4.25,67.5,540,1.5,8,6.72,0.147
90638,8,4.075,4.05,41.625,333,1.6666666666666667,8,6.52,0.151
90640,14,4.307142857142857,4.75,105.71428571428571,1480,1.7142857142857142,14,12.06,0.082
90650,13,4.1,4.0,37.69230769230769,490,1.6,13,10.66,0.093
90660,3,2.466666666666667,2.4,73.33333333333333,220,1.6666666666666667,3,1.48,0.633
90670,1,3.7,3.7,56.0,56,1.0,1,0.74,1.19
90680,9,4.311111111111111,4.7,25.666666666666668,231,1.5,9,7.76,0.127
90701,8,4.275,4.45,76.625,613,1.625,8,6.84,0.144
90703,13,3.7615384615384615,4.3,175.84615384615384,2286,1.7777777777777777,13,9.78,0.101
90706,14,4.035714285714286,4.199999999999999,54.285714285714285,760,1.5555555555555556,14,11.3,0.088
90710,7,4.185714285714286,4.0,53.857142857142854,377,1.3333333333333333,7,5.86,0.168
90712,13,3.9846153846153842,3.9,158.6153846153846,2062,1.5,13,10.36,0.096
90713,9,3.488888888888889,3.3,115.66666666666667,1041,1.625,9,6.28,0.157
90715,4,3.275,4.05,68.0,272,1.3333333333333333,4,2.62,0.368
90716,3,4.066666666666666,4.6,32.666666666666664,98,1.0,3,2.44,0.394
90717,6,4.666666666666667,4.65,65.83333333333333,395,2.0,6,5.6,0.175
90720,13,4.3076923076923075,4.3,636.3076923076923,8272,2.0,13,11.2,0.088
90723,12,4.241666666666666,4.8,45.583333333333336,547,1.5,12,10.18,0.097
90731,18,4.4944444444444445,4.75,112.55555555555556,2026,1.6,18,16.18,0.061
90732,6,3.0500000000000003,2.95,137.0,822,2.0,6,3.66,0.266
90734,1,4.6,4.6,19.0,19,3.0,1,0.92,0.98
90740,12,4.075,4.25,313.25,3759,2.0,12,9.78,0.101
90742,1,4.8,4.8,26.0,26,2.0,1,0.96,0.943
90744,9,4.511111111111111,5.0,8.0,72,1.3333333333333333,9,8.12,0.122
90745,12,4.483333333333333,4.95,60.416666666666664,725,2.3333333333333335,12,10.76,0.092
90746,9,3.933333333333333,3.9,34.55555555555556,311,2.0,9,7.08,0.139
90749,1,5.0,5.0,10.0,10,,1,1.0,0.909
90755,3,3.233333333333333,3.3,134.66666666666666,404,1.5,3,1.94,0.49
90802,35,4.182857142857143,4.6,118.45714285714286,4146,1.7058823529411764,35,29.28,0.034
90803,28,4.110714285714286,4.2,169.92857142857142,4758,1.8571428571428572,28,23.02,0.043
90804,12,4.2749999999999995,4.449999999999999,33.0,396,1.3333333333333333,12,10.26,0.097
90805,20,4.05,4.35,50.65,1013,1.8181818181818181,20,16.2,0.061
90806,12,4.308333333333334,4.550000000000001,30.666666666666668,368,1.5,12,10.34,0.096
90807,19,4.378947368421053,4.6,103.05263157894737,1958,1.6875,19,16.64,0.06
90808,15,4.053333333333333,4.2,70.2,1053,1.9,15,12.16,0.082
90810,4,3.9,3.8,15.75,63,1.6666666666666667,4,3.12,0.311
90813,20,4.17,4.45,34.4,688,1.25,20,16.68,0.06
90814,9,4.166666666666667,4.3,104.33333333333333,939,1.8571428571428572,9,7.5,0.132
90815,16,4.01875,4.15,128.3125,2053,1.9166666666666667,16,12.86,0.077
90840,1,5.0,5.0,14.0,14,2.0,1,1.0,0.909
90899,1,4.5,4.5,2.0,2,,1,0.9,1.0
91001,7,4.171428571428572,4.1,119.57142857142857,837,1.3333333333333333,7,5.84,0.168
91006,9,4.022222222222222,4.1,74.77777777777777,673,1.75,9,7.24,0.136
91007,7,3.442857142857143,3.4,359.14285714285717,2514,1.8,7,4.82,0.203
91010,4,2.65,2.8,148.5,594,1.3333333333333333,4,2.12,0.45
91011,10,4.25,4.35,76.7,767,2.0,10,8.5,0.116
91016,6,3.75,3.9000000000000004,189.0,1134,1.8333333333333333,6,4.5,0.217
91020,5,4.1,4.3,166.6,833,1.8,5,4.1,0.238
91021,1,4.4,4.4,61.0,61,2.0,1,0.88,1.02
91024,2,4.75,4.75,79.0,158,2.0,2,1.9,0.5
91030,10,3.96,3.8,175.7,1757,2.0,10,7.92,0.125
91040,8,4.3,4.5,31.375,251,1.4285714285714286,8,6.88,0.143
91042,4,4.45,5.0,38.0,152,2.0,4,3.56,0.273
91066,1,4.7,4.7,10.0,10,2.0,1,0.94,0.962
91101,17,4.223529411764706,4.3,297.47058823529414,5057,2.0,17,14.36,0.069
91102,1,4.5,4.5,8.0,8,,1,0.9,1.0
91103,9,3.9777777777777774,3.7,153.77777777777777,1384,1.8333333333333333,9,7.16,0.138
91104,12,4.308333333333334,4.35,123.16666666666667,1478,1.2222222222222223,12,10.34,0.096
91105,8,3.625,3.8,414.0,3312,2.1666666666666665,8,5.8,0.169
91106,3,3.1666666666666665,2.7,62.666666666666664,188,2.0,3,1.9,0.5
91107,15,4.02,4.1,167.53333333333333,2513,1.9090909090909092,15,12.06,0.082
91108,1,4.6,4.6,2903.0,2903,,1,0.92,0.98
91201,5,4.9399999999999995,5.0,11.4,57,1.5,5,4.94,0.198
91202,3,4.133333333333333,4.6,69.66666666666667,209,2.0,3,2.48,0.388
91203,5,4.64,4.7,2574.0,12870,1.6,5,4.64,0.211
